site_id,Day,Month,Year,survey_date,surveyor1,pit_tag_id,pit_tag_status,frog_sex,frog_state,frog_location,total_weight,bag_weight,frog_weight,frog_svl,swab_id,swab_id_full,swabber_name,frog_comments,ZE,lifestage,gosner_stage
14221,23,7,2013,7/23/13,Atkinson,1.21019E+11,Y,M,healthy,fringing_habitat,12.5,2,10.5,42.6,1206,DESO1206,Atkinson,NA,6.232,Adult,NA
14221,21,8,2013,8/21/13,Kauffman,1.18001E+11,Y,F,healthy,fringing_habitat,10,2,8,42.6,1514,DESO1514,Ellison,Forgot to check sex,0.3376,Adult,NA
14309,13,9,2013,9/13/13,Knapp,1.18001E+11,Y,M,healthy,inlet,10,2,8,42.7,1719,DESO1719,Knapp,NA,2.888,Adult,NA
14221,21,8,2012,8/21/12,Knapp,NA,NA,F,healthy,in_lake,10.5,2,8.5,42.7,15401,NA,Knapp,J liv plate taken,171.2,Adult,NA
14221,20,6,2013,6/20/13,Knapp,1.21019E+11,Y,F,healthy,in_lake,11.5,2,9.5,42.8,1033,DESO1033,Knapp,NA,0.848,Adult,NA
14221,23,7,2013,7/23/13,Atkinson,1.18001E+11,Y,M,healthy,fringing_habitat,12,2,10,42.8,1238,DESO1238,Atkinson,NA,0,Adult,NA
14309,12,9,2013,9/12/13,Knapp,1.18001E+11,NA,F,healthy,outlet,9.5,2,7.5,42.8,1705,DESO1705,Knapp,NA,117.6,Adult,NA
14221,23,7,2013,7/23/13,Atkinson,1.21019E+11,Y,M,healthy,fringing_habitat,12.5,2,10.5,42.9,1212,DESO1212,Atkinson,NA,0,Adult,NA
14309,19,6,2014,6/19/14,Kauffman,1.18001E+11,Y,M,Healthy,outlet,12,2,10,43,1944,DESO1944,Kauffman,Translocated to Jabu Lake on 6/20/14.,55.76,Adult,NA
54963,19,6,2014,6/19/14,Kauffman,1.18001E+11,Y,F,Healthy,in_lake,12,2,10,43,1957,DESO1957,Kauffman,Translocated to Jabu Lake on 6/20/14.,1.032,Adult,NA
14312,19,6,2014,6/19/14,Kauffman,1.21019E+11,Y,M,Healthy,fringing_habitat,11,2,9,43,1966,DESO1966,Ellison,NA,0.05096,Adult,NA
14310,19,6,2014,6/19/14,Kauffman,1.18001E+11,Y,F,Healthy,in_lake,11,2,9,43,1969,DESO1969,Ellison,Translocated to Jabu Lake on 6/20/14.,0,Adult,NA
14235,1,7,2014,7/1/14,Knapp,1.21019E+11,NA,F,Healthy,in_lake,13,2,11,43,1994,DESO1994,Knapp,On S shore.,34.24,Adult,NA
14218,2,7,2014,7/2/14,Knapp,1.18001E+11,NA,M,Healthy,in_lake,14,2,12,43,2063,DESO2063,Knapp,NA,0,Adult,NA
14221,18,6,2014,6/18/14,Kauffman,1.18001E+11,Y,M,Healthy,in_lake,12,2,10,43,1930,DESO1930,Ellison,NA,1.48,Adult,NA
52643,17,7,2014,7/17/14,Atkinson,9.82E+14,Y,F,Healthy,in_lake,13,2,11,43,1989,DESO1989,Atkinson,NA,0,Adult,NA
14309,18,7,2014,7/18/14,Kauffman,1.18001E+11,NA,M,Healthy,inlet,14,2,12,43,2235,DESO2235,Atkinson,NA,19.12,Adult,NA
14221,17,7,2014,7/17/14,Kauffman,9.00043E+14,Y,M,Healthy,in_lake,11,2,9,43,2082,DESO2082,Kauffman,NA,165.6,Adult,NA
14221,17,7,2014,7/17/14,Kauffman,9.00043E+14,Y,M,Healthy,in_lake,10,2,8,43,2083,DESO2083,Kauffman,NA,0,Adult,NA
